"HHID","PID","h5q2","h5q3","h5q4","h5q5","h5q6","h5q7a","h5q7b","h5q8","h5q9","h5q10","h5q11","h5q12","wgt_X"
"H23102-04-01","P23102-004",2,"P23102-002",1,4,2,96,8,1,,5,1,3000,2204.83032226563
"H23102-04-01","P23102-005",2,"P23102-002",1,14,5,96,11,1,,2,3,0,2204.83032226563
"H23102-04-01","P23102-006",2,"P23102-002",2,,,,,,,,,,2204.83032226563
"H23102-04-01","P23102-007",2,"P23102-002",2,,,,,,,,,,2204.83032226563
"H23102-04-01","P23102-008",2,"P23102-002",1,14,7,13,1,1,,5,1,11500,2204.83032226563
"H23103-04-01","P23103-001",2,"P23103-002",2,,,,,,,,,,1102.41516113281
"H23103-04-01","P23103-002",1,,2,,,,,,,,,,1102.41516113281
"H23103-04-01","P23103-004",2,"P23103-002",2,,,,,,,,,,1102.41516113281
"H23103-04-01","P23103-005",2,"P23103-002",2,,,,,,,,,,1102.41516113281
"H23103-04-01","P23103-006",2,"P23103-002",2,,,,,,,,,,1102.41516113281
"H23103-04-01","P23103-007",2,"P23103-002",1,7,5,13,11,1,,6,1,4000,1102.41516113281
"H23103-04-02","P23103-003",1,,1,4,3,11,9,1,,11,1,6000,1102.41516113281
"H23103-04-02","P23103-008",1,,2,,,,,,,,,,1102.41516113281
"H23104-04-01","P23104-001",1,,1,7,2,4,8,1,,2,3,6000,1102.41516113281
"H23104-04-01","P23104-003",1,,1,9,6,4,8,1,,2,3,2000,1102.41516113281
"H23104-04-01","P23104-005",2,"P23104-003",1,30,0,13,8,1,,2,3,2000,1102.41516113281
"H23104-04-01","P23104-006",2,"P23104-003",1,12,5,4,8,1,,2,3,1500,1102.41516113281
"H23104-04-01","P23104-007",2,"P23104-003",2,,,,,,,,,,1102.41516113281
"H23104-04-01","P23104-008",2,"P23104-003",1,7,2,1,4,1,,2,3,2000,1102.41516113281
"H23104-04-02","P23104-004",1,,1,3,0,8,96,1,,2,6,0,1102.41516113281
"H23104-04-02","P23104-009",1,,2,,,,,,,,,,1102.41516113281
"H23105-04-01","P23105-001",1,,1,5,3,8,4,1,,5,8,90000,2204.83032226563
"H23105-04-01","P23105-003",2,"P23105-001",2,,,,,,,,,,2204.83032226563
"H23105-04-01","P23105-004",2,"P23105-001",2,,,,,,,,,,2204.83032226563
"H23105-04-01","P23105-006",2,"P23105-001",2,,,,,,,,,,2204.83032226563
"H23105-04-01","P23105-007",2,"P23105-001",2,,,,,,,,,,2204.83032226563
"H23105-04-01","P23105-008",2,"P23105-001",2,,,,,,,,,,2204.83032226563
"H23105-04-01","P23105-010",2,"P23105-001",2,,,,,,,,,,2204.83032226563
"H23106-04-01","P23106-001",2,"P23106-002",2,,,,,,,,,,2204.83032226563
"H23106-04-01","P23106-002",1,,2,,,,,,,,,,2204.83032226563
"H23106-04-01","P23106-004",2,"P23106-002",2,,,,,,,,,,2204.83032226563
"H23107-04-01","P23107-001",1,,2,,,,,,,,,,2204.83032226563
"H23107-04-01","P23107-002",1,,1,20,6,13,9,1,,6,3,8000,2204.83032226563
"H23107-04-01","P23107-004",1,,2,,,,,,,,,,2204.83032226563
"H23107-04-01","P23107-007",2,"P23107-002",2,,,,,,,,,,2204.83032226563
"H23108-04-01","P23108-001",2,"P23108-002",2,,,,,,,,,,2204.83032226563
"H23108-04-01","P23108-002",1,,1,3,1,12,8,1,,6,3,15500,2204.83032226563
"H23108-04-01","P23108-004",2,"P23108-002",2,,,,,,,,,,2204.83032226563
"H23108-04-01","P23108-005",2,"P23108-002",2,,,,,,,,,,2204.83032226563
"H23108-04-01","P23108-006",2,"P23108-002",2,,,,,,,,,,2204.83032226563
"H23108-04-01","P23108-007",2,"P23108-002",2,,,,,,,,,,2204.83032226563
"H23108-04-01","P23108-008",2,"P23108-002",2,,,,,,,,,,2204.83032226563
"H23109-04-01","P23109-001",2,"P23109-002",2,,,,,,,,,,734.943359375
"H23109-04-01","P23109-002",1,,2,,,,,,,,,,734.943359375
"H23109-04-01","P23109-004",2,"P23109-002",2,,,,,,,,,,734.943359375
"H23109-04-01","P23109-005",2,"P23109-002",1,5,1,96,40,1,,1,15,0,734.943359375
"H23109-04-01","P23109-006",2,"P23109-002",1,7,2,4,19,1,,11,10,17000,734.943359375
"H23109-04-01","P23109-007",2,"P23109-002",2,,,,,,,,,,734.943359375
"H23109-04-01","P23109-008",2,"P23109-002",2,,,,,,,,,,734.943359375
"H23109-04-01","P23109-009",2,"P23109-002",2,,,,,,,,,,734.943359375
"H23109-04-01","P23109-010",2,"P23109-002",1,3,0,2,40,1,,5,0,1500,734.943359375
"H23109-04-01","P23109-011",2,"P23109-002",2,,,,,,,,,,734.943359375
"H23109-04-01","P23109-014",2,"P23109-002",1,30,30,9,40,2,5,,,,734.943359375
"H23109-04-01","P23109-015",2,"P23109-002",2,,,,,,,,,,734.943359375
"H23109-04-02","P23109-003",1,,2,,,,,,,,,,734.943359375
"H23109-04-03","P23109-017",1,,1,5,0,4,40,1,,7,1,22000,734.943359375
"H23109-04-03","P23109-018",2,"P23109-017",1,3,0,4,40,1,,7,1,3500,734.943359375
"H23109-04-03","P23109-020",1,,1,10,0,13,40,2,1,,,,734.943359375
"H23110-04-01","P23110-001",2,"P23110-002",1,7,3,96,8,1,,6,1,10000,2204.83032226563
"H23110-04-01","P23110-002",1,,2,,,,,,,,,,2204.83032226563
"H23110-04-01","P23110-003",2,"P23110-002",2,,,,,,,,,,2204.83032226563
"H23110-04-01","P23110-004",2,"P23110-002",2,,,,,,,,,,2204.83032226563
"H23110-04-01","P23110-005",2,"P23110-002",1,5,2,1,12,1,,6,1,7000,2204.83032226563
"H23110-04-01","P23110-007",2,"P23110-002",1,7,3,12,11,1,,6,1,2000,2204.83032226563
"H23301-04-01","P23301-001",1,,1,7,6,1,3,2,12,,,,1887.58166503906
"H23301-04-01","P23301-002",2,"P23301-001",2,,,,,,,,,,1887.58166503906
"H23301-04-01","P23301-003",2,"P23301-001",2,,,,,,,,,,1887.58166503906
"H23301-04-01","P23301-004",2,"P23301-001",2,,,,,,,,,,1887.58166503906
"H23301-04-01","P23301-005",2,"P23301-001",2,,,,,,,,,,1887.58166503906
"H23301-04-01","P23301-006",2,"P23301-001",2,,,,,,,,,,1887.58166503906
"H23301-04-01","P23301-007",2,"P23301-001",2,,,,,,,,,,1887.58166503906
"H23302-04-01","P23302-001",2,"P23302-002",1,30,14,8,16,1,,2,1,0,1887.58166503906
"H23302-04-01","P23302-002",1,,1,21,14,16,8,1,,2,1,0,1887.58166503906
"H23302-04-01","P23302-003",2,"P23302-002",2,,,,,,,,,,1887.58166503906
"H23302-04-01","P23302-004",2,"P23302-002",2,,,,,,,,,,1887.58166503906
"H23302-04-01","P23302-005",2,"P23302-002",2,,,,,,,,,,1887.58166503906
"H23302-04-01","P23302-006",2,"P23302-002",2,,,,,,,,,,1887.58166503906
"H23302-04-01","P23302-007",2,"P23302-002",2,,,,,,,,,,1887.58166503906
"H23302-04-01","P23302-008",2,"P23302-002",1,7,3,4,16,1,,2,1,0,1887.58166503906
"H23302-04-01","P23302-009",2,"P23302-002",1,7,3,13,4,1,,2,1,0,1887.58166503906
"H23302-04-01","P23302-010",2,"P23302-002",1,7,4,13,4,1,,2,1,0,1887.58166503906
"H23303-04-01","P23303-001",2,"P23303-014",2,,,,,,,,,,1887.58166503906
"H23303-04-01","P23303-002",2,"P23303-014",2,,,,,,,,,,1887.58166503906
"H23303-04-01","P23303-003",2,"P23303-014",2,,,,,,,,,,1887.58166503906
"H23303-04-01","P23303-004",2,"P23303-014",2,,,,,,,,,,1887.58166503906
"H23303-04-01","P23303-005",2,"P23303-014",2,,,,,,,,,,1887.58166503906
"H23303-04-01","P23303-006",2,"P23303-014",2,,,,,,,,,,1887.58166503906
"H23303-04-01","P23303-008",2,"P23303-014",2,,,,,,,,,,1887.58166503906
"H23303-04-01","P23303-009",2,"P23303-014",2,,,,,,,,,,1887.58166503906
"H23303-04-01","P23303-010",2,"P23303-014",2,,,,,,,,,,1887.58166503906
"H23303-04-01","P23303-011",2,"P23303-014",2,,,,,,,,,,1887.58166503906
"H23303-04-01","P23303-012",2,"P23303-014",2,,,,,,,,,,1887.58166503906
"H23303-04-01","P23303-014",1,,2,,,,,,,,,,1887.58166503906
"H23304-04-01","P23304-001",1,,2,,,,,,,,,,1887.58166503906
"H23304-04-01","P23304-002",2,"P23304-001",1,4,3,9,12,1,,2,2,0,1887.58166503906
"H23304-04-01","P23304-003",2,"P23304-001",2,,,,,,,,,,1887.58166503906
"H23304-04-01","P23304-004",2,"P23304-001",2,,,,,,,,,,1887.58166503906
"H23304-04-01","P23304-005",2,"P23304-001",2,,,,,,,,,,1887.58166503906
"H23304-04-01","P23304-006",2,"P23304-001",2,,,,,,,,,,1887.58166503906
"H23304-04-01","P23304-007",2,"P23304-001",2,,,,,,,,,,1887.58166503906
"H23304-04-01","P23304-008",2,"P23304-001",2,,,,,,,,,,1887.58166503906
"H23306-04-01","P23306-001",1,,2,,,,,,,,,,1887.58166503906
"H23306-04-01","P23306-002",2,"P23306-001",2,,,,,,,,,,1887.58166503906
"H23306-04-01","P23306-003",2,"P23306-001",2,,,,,,,,,,1887.58166503906
"H23307-04-01","P23307-003",2,"P23307-006",2,,,,,,,,,,1887.58166503906
"H23307-04-01","P23307-005",1,,1,3,2,1,13,1,,7,3,12000,1887.58166503906
"H23307-04-01","P23307-006",1,,2,,,,,,,,,,1887.58166503906
"H23307-04-01","P23307-010",2,"P23307-006",2,,,,,,,,,,1887.58166503906
"H23307-04-01","P23307-013",2,"P23307-006",1,7,4,13,4,1,,2,4,0,1887.58166503906
"H23308-04-01","P23308-001",1,,2,,,,,,,,,,1887.58166503906
"H23308-04-01","P23308-002",2,"P23308-001",2,,,,,,,,,,1887.58166503906
"H23308-04-01","P23308-003",2,"P23308-001",2,,,,,,,,,,1887.58166503906
"H23308-04-01","P23308-004",2,"P23308-001",2,,,,,,,,,,1887.58166503906
"H23308-04-01","P23308-005",2,"P23308-001",2,,,,,,,,,,1887.58166503906
"H23308-04-01","P23308-006",2,"P23308-001",1,5,5,4,16,2,1,,,,1887.58166503906
"H23308-04-01","P23308-007",2,"P23308-001",1,9,9,4,8,1,,2,5,0,1887.58166503906
"H23310-04-01","P23310-001",2,"P23310-002",2,,,,,,,,,,1887.58166503906
"H23310-04-01","P23310-002",1,,2,,,,,,,,,,1887.58166503906
"H23310-04-01","P23310-003",2,"P23310-002",2,,,,,,,,,,1887.58166503906
"H23310-04-01","P23310-004",2,"P23310-002",2,,,,,,,,,,1887.58166503906
"H23310-04-01","P23310-005",2,"P23310-002",2,,,,,,,,,,1887.58166503906
"H23310-04-01","P23310-006",2,"P23310-002",2,,,,,,,,,,1887.58166503906
"H23310-04-01","P23310-007",2,"P23310-002",2,,,,,,,,,,1887.58166503906
"H23312-04-01","P23312-001",1,,1,30,30,8,96,1,,2,1.5,0,1887.58166503906
"H23312-04-01","P23312-002",2,"P23312-001",2,,,,,,,,,,1887.58166503906
"H23312-04-01","P23312-004",2,"P23312-001",2,,,,,,,,,,1887.58166503906
"H23312-04-01","P23312-005",2,"P23312-001",1,7,3,13,4,1,,2,1.5,0,1887.58166503906
"H23312-04-01","P23312-007",1,,2,,,,,,,,,,1887.58166503906
"H23312-04-01","P23312-008",2,"P23312-001",2,,,,,,,,,,1887.58166503906
"H23312-04-01","P23312-009",2,"P23312-001",1,4,2,1,4,1,,2,1.5,0,1887.58166503906
"H23401-04-01","P23401-001",1,,2,,,,,,,,,,1887.58166503906
"H23401-04-01","P23401-002",2,"P23401-004",2,,,,,,,,,,1887.58166503906
"H23401-04-01","P23401-003",2,"P23401-001",2,,,,,,,,,,1887.58166503906
"H23401-04-01","P23401-004",1,,1,3,3,4,8,1,,1,4,0,1887.58166503906
"H23401-04-01","P23401-005",2,"P23401-004",2,,,,,,,,,,1887.58166503906
"H23401-04-01","P23401-006",2,"P23401-004",2,,,,,,,,,,1887.58166503906
"H23402-04-01","P23402-001",1,,2,,,,,,,,,,1887.58166503906
"H23402-04-01","P23402-002",1,,2,,,,,,,,,,1887.58166503906
"H23402-04-01","P23402-003",2,"P23402-002",2,,,,,,,,,,1887.58166503906
"H23402-04-01","P23402-004",2,"P23402-002",2,,,,,,,,,,1887.58166503906
"H23402-04-01","P23402-005",2,"P23402-002",2,,,,,,,,,,1887.58166503906
"H23402-04-01","P23402-006",2,"P23402-002",2,,,,,,,,,,1887.58166503906
"H23402-04-01","P23402-007",2,"P23402-002",2,,,,,,,,,,1887.58166503906
"H23402-04-01","P23402-008",2,"P23402-002",2,,,,,,,,,,1887.58166503906
"H23402-04-01","P23402-009",2,"P23402-002",2,,,,,,,,,,1887.58166503906
"H23402-04-01","P23402-010",2,"P23402-002",1,14,1,2,12,1,,1,5,0,1887.58166503906
"H23402-04-01","P23402-011",2,"P23402-002",2,,,,,,,,,,1887.58166503906
"H23404-04-01","P23404-003",1,,1,30,30,13,20,1,,1,3,1200,943.790832519531
"H23404-04-01","P23404-010",2,"P23404-003",1,14,14,5,8,1,,1,2,0,943.790832519531
"H23404-04-01","P23404-011",2,"P23404-003",1,14,14,5,13,1,,1,4.5,0,943.790832519531
"H23404-04-01","P23404-012",2,"P23404-003",2,,,,,,,,,,943.790832519531
"H23404-04-01","P23404-013",2,"P23404-003",2,,,,,,,,,,943.790832519531
"H23404-04-01","P23404-014",2,"P23404-003",2,,,,,,,,,,943.790832519531
"H23404-04-02","P23404-001",2,"P23404-007",2,,,,,,,,,,943.790832519531
"H23404-04-02","P23404-002",2,"P23404-007",2,,,,,,,,,,943.790832519531
"H23404-04-02","P23404-007",1,,1,4,2,4,9,1,,1,0.25,2000,943.790832519531
"H23405-04-01","P23405-001",1,,2,,,,,,,,,,1887.58166503906
"H23405-04-01","P23405-002",1,,2,,,,,,,,,,1887.58166503906
"H23405-04-01","P23405-003",2,"P23405-002",2,,,,,,,,,,1887.58166503906
"H23405-04-01","P23405-004",2,"P23405-002",2,,,,,,,,,,1887.58166503906
"H23405-04-01","P23405-005",2,"P23405-002",2,,,,,,,,,,1887.58166503906
"H23406-04-01","P23406-001",1,,1,5,4,4,9,1,,1,3,5000,1887.58166503906
"H23406-04-01","P23406-002",2,"P23406-001",2,,,,,,,,,,1887.58166503906
"H23406-04-01","P23406-003",2,"P23406-001",2,,,,,,,,,,1887.58166503906
"H23406-04-01","P23406-004",2,"P23406-001",2,,,,,,,,,,1887.58166503906
"H23406-04-01","P23406-005",2,"P23406-001",2,,,,,,,,,,1887.58166503906
"H23407-04-01","P23407-001",1,,2,,,,,,,,,,943.790832519531
"H23407-04-01","P23407-003",1,,2,,,,,,,,,,943.790832519531
"H23407-04-01","P23407-004",2,"P23407-001",2,,,,,,,,,,943.790832519531
"H23407-04-01","P23407-005",2,"P23407-001",2,,,,,,,,,,943.790832519531
"H23407-04-01","P23407-006",2,"P23407-001",2,,,,,,,,,,943.790832519531
"H23407-04-01","P23407-008",2,"P23407-003",2,,,,,,,,,,943.790832519531
"H23407-04-02","P23407-002",2,"P23407-009",2,,,,,,,,,,943.790832519531
"H23407-04-02","P23407-009",1,,2,,,,,,,,,,943.790832519531
"H23407-04-02","P23407-010",2,"P23407-009",2,,,,,,,,,,943.790832519531
"H23408-04-01","P23408-001",1,,2,,,,,,,,,,1887.58166503906
"H23408-04-01","P23408-002",1,,2,,,,,,,,,,1887.58166503906
"H23408-04-01","P23408-004",1,,2,,,,,,,,,,1887.58166503906
"H23408-04-01","P23408-005",2,"P23408-001",1,8,6,9,4,1,,7,6,4000,1887.58166503906
"H23408-04-01","P23408-006",2,"P23408-002",2,,,,,,,,,,1887.58166503906
"H23408-04-01","P23408-007",2,"P23408-002",2,,,,,,,,,,1887.58166503906
"H23410-04-01","P23410-002",1,,1,7,7,4,96,1,,1,0.5,5000,1887.58166503906
"H23410-04-01","P23410-003",2,"P23410-002",2,,,,,,,,,,1887.58166503906
"H23410-04-01","P23410-004",2,"P23410-002",1,1,1,9,8,1,,6,0.1,200,1887.58166503906
"H23410-04-01","P23410-005",2,"P23410-002",2,,,,,,,,,,1887.58166503906
"H23410-04-01","P23410-006",2,"P23410-002",2,,,,,,,,,,1887.58166503906
"H23411-04-01","P23411-001",1,,2,,,,,,,,,,1887.58166503906
"H23411-04-01","P23411-002",1,,2,,,,,,,,,,1887.58166503906
"H23411-04-01","P23411-003",2,"P23411-002",2,,,,,,,,,,1887.58166503906
"H23411-04-01","P23411-004",2,"P23411-001",2,,,,,,,,,,1887.58166503906
"H23411-04-01","P23411-005",2,"P23411-002",1,2,2,5,8,1,,1,0.5,0,1887.58166503906
"H23411-04-01","P23411-006",2,"P23411-002",2,,,,,,,,,,1887.58166503906
"H23411-04-01","P23411-007",2,"P23411-002",2,,,,,,,,,,1887.58166503906
"H23411-04-01","P23411-008",2,"P23411-001",2,,,,,,,,,,1887.58166503906
"H23412-04-01","P23412-002",2,"P23412-007",2,,,,,,,,,,1887.58166503906
"H23412-04-01","P23412-003",2,"P23412-007",2,,,,,,,,,,1887.58166503906
"H23412-04-01","P23412-004",2,"P23412-007",2,,,,,,,,,,1887.58166503906
"H23412-04-01","P23412-005",2,"P23412-007",2,,,,,,,,,,1887.58166503906
"H23412-04-01","P23412-006",2,"P23412-007",2,,,,,,,,,,1887.58166503906
"H23412-04-01","P23412-007",1,,2,,,,,,,,,,1887.58166503906
"H23412-04-01","P23412-008",2,"P23412-007",2,,,,,,,,,,1887.58166503906
"H23412-04-01","P23412-009",2,"P23412-007",2,,,,,,,,,,1887.58166503906
"H23502-04-01","P23502-001",1,,1,30,30,15,14,1,,2,0.5,15000,2464.5224609375
"H23503-04-01","P23503-019",1,,1,7,4,19,9,1,,2,1,0,616.130615234375
"H23503-04-01","P23503-020",2,"P23503-019",2,,,,,,,,,,616.130615234375
"H23503-04-01","P23503-022",2,"P23503-019",1,12,0,9,96,1,,1,45,0,616.130615234375
"H23503-04-01","P23503-023",2,"P23503-019",2,,,,,,,,,,616.130615234375
"H23503-04-02","P23503-013",1,,1,7,0,9,19,1,,2,1,0,616.130615234375
"H23503-04-02","P23503-014",2,"P23503-013",2,,,,,,,,,,616.130615234375
"H23503-04-02","P23503-015",2,"P23503-013",1,3,1,9,19,1,,2,1,0,616.130615234375
"H23503-04-02","P23503-016",2,"P23503-013",2,,,,,,,,,,616.130615234375
"H23503-04-02","P23503-017",2,"P23503-013",2,,,,,,,,,,616.130615234375
"H23503-04-02","P23503-018",2,"P23503-013",2,,,,,,,,,,616.130615234375
"H23503-04-02","P23503-024",2,"P23503-013",1,5,2,4,11,1,,2,1,0,616.130615234375
"H23503-04-03","P23503-001",2,"P23503-002",2,,,,,,,,,,616.130615234375
"H23503-04-03","P23503-002",1,,2,,,,,,,,,,616.130615234375
"H23503-04-03","P23503-003",2,"P23503-002",2,,,,,,,,,,616.130615234375
"H23503-04-03","P23503-004",2,"P23503-002",2,,,,,,,,,,616.130615234375
"H23503-04-03","P23503-005",2,"P23503-002",2,,,,,,,,,,616.130615234375
"H23503-04-03","P23503-025",2,"P23503-002",2,,,,,,,,,,616.130615234375
"H23503-04-04","P23503-006",1,,2,,,,,,,,,,616.130615234375
"H23503-04-04","P23503-007",2,"P23503-006",2,,,,,,,,,,616.130615234375
"H23503-04-04","P23503-008",2,"P23503-006",2,,,,,,,,,,616.130615234375
"H23503-04-04","P23503-009",2,"P23503-006",2,,,,,,,,,,616.130615234375
"H23503-04-04","P23503-010",2,"P23503-006",2,,,,,,,,,,616.130615234375
"H23503-04-04","P23503-011",2,"P23503-006",2,,,,,,,,,,616.130615234375
"H23503-04-04","P23503-012",2,"P23503-006",2,,,,,,,,,,616.130615234375
"H23504-04-01","P23504-001",1,,2,,,,,,,,,,2464.5224609375
"H23504-04-01","P23504-002",2,"P23504-001",2,,,,,,,,,,2464.5224609375
"H23504-04-01","P23504-003",1,,2,,,,,,,,,,2464.5224609375
"H23504-04-01","P23504-004",2,"P23504-001",2,,,,,,,,,,2464.5224609375
"H23504-04-01","P23504-005",2,"P23504-001",2,,,,,,,,,,2464.5224609375
"H23504-04-01","P23504-006",2,"P23504-001",2,,,,,,,,,,2464.5224609375
"H23504-04-01","P23504-007",2,"P23504-001",2,,,,,,,,,,2464.5224609375
"H23504-04-01","P23504-011",2,"P23504-007",2,,,,,,,,,,2464.5224609375
"H23505-04-01","P23505-001",2,"P23505-002",2,,,,,,,,,,2464.5224609375
"H23505-04-01","P23505-002",1,,2,,,,,,,,,,2464.5224609375
"H23505-04-01","P23505-003",2,"P23505-002",2,,,,,,,,,,2464.5224609375
"H23505-04-01","P23505-004",2,"P23505-002",2,,,,,,,,,,2464.5224609375
"H23505-04-01","P23505-008",2,"P23505-002",1,7,3,4,11,1,,6,1.4,1400,2464.5224609375
"H23505-04-01","P23505-009",2,"P23505-002",2,,,,,,,,,,2464.5224609375
"H23506-04-01","P23506-001",1,,2,,,,,,,,,,1232.26123046875
"H23506-04-01","P23506-003",2,"P23506-001",2,,,,,,,,,,1232.26123046875
"H23506-04-01","P23506-005",2,"P23506-001",2,,,,,,,,,,1232.26123046875
"H23506-04-01","P23506-006",2,"P23506-001",2,,,,,,,,,,1232.26123046875
"H23506-04-01","P23506-007",2,"P23506-001",2,,,,,,,,,,1232.26123046875
"H23506-04-01","P23506-009",2,"P23506-001",2,,,,,,,,,,1232.26123046875
"H23506-04-01","P23506-010",2,"P23506-001",1,2,1,4,40,1,,2,0.02,0,1232.26123046875
"H23506-04-01","P23506-011",2,"P23506-001",2,,,,,,,,,,1232.26123046875
"H23506-04-01","P23506-012",2,"P23506-001",2,,,,,,,,,,1232.26123046875
"H23506-04-01","P23506-013",2,"P23506-001",2,,,,,,,,,,1232.26123046875
"H23506-04-01","P23506-014",2,"P23506-001",2,,,,,,,,,,1232.26123046875
"H23506-04-01","P23506-017",2,"P23506-001",2,,,,,,,,,,1232.26123046875
"H23506-04-01","P23506-018",2,"P23506-001",2,,,,,,,,,,1232.26123046875
"H23506-04-02","P23506-008",1,,2,,,,,,,,,,1232.26123046875
"H23506-04-02","P23506-015",2,"P23506-008",2,,,,,,,,,,1232.26123046875
"H23506-04-02","P23506-016",2,"P23506-008",1,3,0,1,13,1,,6,1.5,5000,1232.26123046875
"H23507-04-01","P23507-001",1,,2,,,,,,,,,,2464.5224609375
"H23507-04-01","P23507-002",1,,2,,,,,,,,,,2464.5224609375
"H23507-04-01","P23507-003",1,,2,,,,,,,,,,2464.5224609375
"H23507-04-01","P23507-004",2,"P23507-003",2,,,,,,,,,,2464.5224609375
"H23507-04-01","P23507-006",2,"P23507-001",2,,,,,,,,,,2464.5224609375
"H23508-04-01","P23508-001",1,,1,9,2,9,40,1,,2,1,0,2464.5224609375
"H23508-04-01","P23508-002",1,,2,,,,,,,,,,2464.5224609375
"H23509-04-01","P23509-006",1,,1,3,0,4,40,1,,6,1,1000,821.507507324219
"H23509-04-01","P23509-007",1,,1,5,0,13,40,1,,6,1,400,821.507507324219
"H23509-04-01","P23509-008",2,"P23509-007",2,,,,,,,,,,821.507507324219
"H23509-04-01","P23509-009",1,,2,,,,,,,,,,821.507507324219
"H23509-04-01","P23509-010",1,,1,2,0,4,8,1,,6,1,500,821.507507324219
"H23509-04-01","P23509-011",2,"P23509-007",2,,,,,,,,,,821.507507324219
"H23509-04-01","P23509-012",2,"P23509-007",1,1,0,4,40,1,,6,1,500,821.507507324219
"H23509-04-01","P23509-013",2,"P23509-007",2,,,,,,,,,,821.507507324219
"H23509-04-01","P23509-026",2,"P23509-007",1,3,0,13,40,1,,6,1,200,821.507507324219
"H23509-04-02","P23509-015",2,"P23509-017",1,5,0,9,40,1,,6,1,2000,821.507507324219
"H23509-04-02","P23509-016",2,"P23509-017",2,,,,,,,,,,821.507507324219
"H23509-04-02","P23509-017",1,,2,,,,,,,,,,821.507507324219
"H23509-04-02","P23509-019",2,"P23509-017",2,,,,,,,,,,821.507507324219
"H23509-04-02","P23509-020",2,"P23509-017",2,,,,,,,,,,821.507507324219
"H23509-04-02","P23509-021",2,"P23509-017",2,,,,,,,,,,821.507507324219
"H23509-04-03","P23509-001",2,"P23509-002",2,,,,,,,,,,821.507507324219
"H23509-04-03","P23509-002",1,,2,,,,,,,,,,821.507507324219
"H23509-04-03","P23509-003",2,"P23509-002",1,7,2,6,40,1,,2,15,0,821.507507324219
"H23509-04-03","P23509-004",2,"P23509-002",2,,,,,,,,,,821.507507324219
"H23509-04-03","P23509-005",2,"P23509-002",2,,,,,,,,,,821.507507324219
"H23510-04-01","P23510-002",1,,2,,,,,,,,,,1232.26123046875
"H23510-04-01","P23510-003",1,,2,,,,,,,,,,1232.26123046875
"H23510-04-01","P23510-004",1,,2,,,,,,,,,,1232.26123046875
"H23510-04-01","P23510-005",1,,2,,,,,,,,,,1232.26123046875
"H23510-04-01","P23510-007",2,"P23510-002",2,,,,,,,,,,1232.26123046875
"H23510-04-01","P23510-008",2,"P23510-002",2,,,,,,,,,,1232.26123046875
"H23510-04-01","P23510-011",2,"P23510-002",2,,,,,,,,,,1232.26123046875
"H23510-04-02","P23510-001",1,,2,,,,,,,,,,1232.26123046875
"H23510-04-02","P23510-013",1,,2,,,,,,,,,,1232.26123046875
"H23510-04-02","P23510-014",2,"P23510-016",2,,,,,,,,,,1232.26123046875
"H23510-04-02","P23510-015",2,"P23510-001",2,,,,,,,,,,1232.26123046875
"H23510-04-02","P23510-016",2,"P23510-001",2,,,,,,,,,,1232.26123046875
"H23510-04-02","P23510-017",2,"P23510-001",2,,,,,,,,,,1232.26123046875
"H23513-04-01","P23513-001",1,,2,,,,,,,,,,2464.5224609375
"H23513-04-01","P23513-002",1,,2,,,,,,,,,,2464.5224609375
"H23513-04-01","P23513-003",2,"P23513-001",2,,,,,,,,,,2464.5224609375
"H23513-04-01","P23513-005",2,"P23513-001",1,3,3,4,11,1,,10,1,8100,2464.5224609375
"H23513-04-01","P23513-008",1,,2,,,,,,,,,,2464.5224609375
"H23513-04-01","P23513-009",2,"P23513-001",2,,,,,,,,,,2464.5224609375
"H23601-04-01","P23601-001",1,,2,,,,,,,,,,821.507507324219
"H23601-04-01","P23601-002",1,,2,,,,,,,,,,821.507507324219
"H23601-04-01","P23601-005",2,"P23601-001",2,,,,,,,,,,821.507507324219
"H23601-04-01","P23601-006",2,"P23601-002",2,,,,,,,,,,821.507507324219
"H23601-04-01","P23601-007",2,"P23601-001",2,,,,,,,,,,821.507507324219
"H23601-04-02","P23601-003",1,,2,,,,,,,,,,821.507507324219
"H23601-04-02","P23601-008",2,"P23601-003",2,,,,,,,,,,821.507507324219
"H23601-04-03","P23601-004",2,"P23601-009",2,,,,,,,,,,821.507507324219
"H23601-04-03","P23601-009",1,,2,,,,,,,,,,821.507507324219
"H23603-04-01","P23603-001",2,"P23603-002",1,4,0,4,9,1,,2,2.5,0,2464.5224609375
"H23603-04-01","P23603-002",1,,1,7,3,8,9,1,,2,2.5,0,2464.5224609375
"H23603-04-01","P23603-003",2,"P23603-002",1,3,2,13,4,1,,1,2.5,0,2464.5224609375
"H23603-04-01","P23603-010",2,"P23603-001",2,,,,,,,,,,2464.5224609375
"H23603-04-01","P23603-011",2,"P23603-002",1,3,0,1,7,1,,2,2.5,0,2464.5224609375
"H23603-04-01","P23603-012",2,"P23603-002",2,,,,,,,,,,2464.5224609375
"H23604-04-01","P23604-001",1,,2,,,,,,,,,,2464.5224609375
"H23604-04-01","P23604-002",1,,2,,,,,,,,,,2464.5224609375
"H23605-04-01","P23605-001",1,,1,14,0,6,40,2,1,,,,2464.5224609375
"H23605-04-01","P23605-002",2,"P23605-001",1,3,1,9,4,1,,6,3,1500,2464.5224609375
"H23605-04-01","P23605-004",2,"P23605-001",2,,,,,,,,,,2464.5224609375
