"HHID","PID","w2q1a","w2q1b","w2q1c","w2q2","w2q3","w2q4","w2q5","wgt_X"
"H15505-04-01","P15505-002",1,"P15505-001",2,,,26,30,1467.73278808594
"H15505-04-02","P15505-018",3,,,3,,,,1467.73278808594
"H15505-04-02","P15505-011",3,,,3,,,,1467.73278808594
"H15508-04-01","P15508-002",2,"P15508-001",1,,,17,19,2935.46557617188
"H15903-04-01","P15903-002",2,"P15903-001",2,,,18,23,2935.46606445313
"H15904-04-01","P15904-002",3,,,1,1,15,22,2935.46606445313
"H15905-04-01","P15905-002",1,"P15905-001",1,,,0,0,2935.46606445313
"H15907-04-01","P15907-002",2,"P15907-001",1,,,17,27,1467.73303222656
"H15907-04-02","P15907-003",2,"P15907-011",1,,,0,0,1467.73303222656
"H15909-04-02","P15909-010",1,,1,,,20,21,978.488708496094
"H15909-04-03","P15909-015",1,"P15909-014",1,,,15,26,978.488708496094
"H16201-04-01","P16201-001",3,,,1,3,18,22,1467.73278808594
"H16201-04-02","P16201-007",3,,,3,,,,1467.73278808594
"H16204-04-01","P16204-002",1,"P16204-001",1,,,22,25,2935.46557617188
"H16205-04-01","P16205-011",1,"P16205-003",1,,,15,24,2935.46557617188
"H16206-04-01","P16206-008",1,"P16206-001",2,,,15,19,2935.46557617188
"H16208-04-01","P16208-014",2,"P16208-005",1,,,17,20,2935.46557617188
"H16209-04-01","P16209-002",1,"P16209-001",1,,,19,23,2935.46557617188
"H16210-04-01","P16210-002",1,"P16210-001",1,,,14,20,2935.46557617188
"H16304-04-01","P16304-001",1,"P16304-002",1,,,16,18,2935.46557617188
"H16305-04-03","P16305-005",1,"P16305-004",1,,,17,19,978.488586425781
"H16307-04-01","P16307-007",1,"P16307-001",1,,,17,22,2935.46557617188
"H16308-04-01","P16308-001",3,,,2,3,23,28,1467.73278808594
"H16310-04-01","P16310-001",1,,1,,,39,22,2935.46557617188
"H16401-04-01","P16401-002",1,"P16401-001",1,,,18,20,2935.46557617188
"H16402-04-01","P16402-002",1,"P16402-001",1,,,17,24,2935.46557617188
"H16403-04-01","P16403-001",2,,1,,,20,35,2935.46557617188
"H16404-04-01","P16404-004",3,,,3,,,,2935.46557617188
"H16404-04-01","P16404-003",3,,,3,,,,2935.46557617188
"H16405-04-01","P16405-002",1,"P16405-001",2,,,14,22,1467.73278808594
"H16405-04-02","P16405-005",1,"P16405-004",1,,,17,23,1467.73278808594
"H16406-04-01","P16406-006",3,,,3,,,,2935.46557617188
"H16407-04-03","P16407-009",1,,1,,,20,23,978.488586425781
"H16408-04-01","P16408-001",3,,,1,1,18,22,2935.46557617188
"H16409-04-01","P16409-002",1,"P16409-001",1,,,18,26,733.866394042969
"H16409-04-03","P16409-019",1,"P16409-018",2,,,15,21,733.866394042969
"H16409-04-04","P16409-015",1,"P16409-014",2,,,19,23,733.866394042969
"H16410-04-01","P16410-001",3,,,1,3,23,27,2935.46557617188
"H16410-04-01","P16410-003",3,,,3,,,,2935.46557617188
"H16501-04-02","P16501-004",3,,,2,1,21,23,1467.73278808594
"H16501-04-02","P16501-005",3,,,3,,,,1467.73278808594
"H16502-04-01","P16502-002",1,"P16502-001",1,,,19,23,2935.46557617188
"H16503-04-01","P16503-002",1,"P16503-001",2,,,20,25,2935.46557617188
"H16505-04-01","P16505-004",3,,,2,3,22,25,978.488586425781
"H16505-04-01","P16505-004",3,,,2,3,22,25,978.488586425781
"H16505-04-01","P16505-004",3,,,2,3,22,25,978.488586425781
"H16505-04-01","P16505-004",3,,,2,3,22,25,978.488586425781
"H16505-04-02","P16505-015",1,"P16505-014",1,,,15,22,978.488586425781
"H16505-04-03","P16505-004",2,"P16505-033",2,,,22,26,978.488586425781
"H16505-04-03","P16505-004",2,"P16505-033",2,,,22,26,978.488586425781
"H16505-04-03","P16505-035",1,,2,,,24,26,978.488586425781
"H16505-04-03","P16505-004",2,"P16505-033",2,,,22,26,978.488586425781
"H16505-04-03","P16505-004",2,"P16505-033",2,,,22,26,978.488586425781
"H16506-04-01","P16506-006",1,"P16506-005",1,,,19,28,2935.46557617188
"H16507-04-01","P16507-003",3,,,3,,,,2935.46557617188
"H16508-04-01","P16508-009",3,,,2,3,17,22,2935.46557617188
"H16604-04-01","P16604-005",3,,,3,,,,1467.73278808594
"H16604-04-02","P16604-006",3,,,3,,,,1467.73278808594
"H16606-04-01","P16606-002",1,"P16606-001",2,,,18,20,2935.46557617188
"H16607-04-01","P16607-002",2,"P16607-001",2,,,16,20,2935.46557617188
"H16609-04-01","P16609-006",3,,,3,,,,2935.46557617188
"H16611-04-01","P16611-002",2,"P16611-001",1,,,22,27,2935.46557617188
"H16611-04-01","P16611-003",3,,,3,,,,2935.46557617188
"H16701-04-01","P16701-002",1,"P16701-001",1,,,14,24,2935.46557617188
"H16702-04-01","P16702-008",3,,,3,,,,2935.46557617188
"H16702-04-01","P16702-002",1,"P16702-001",1,,,16,22,2935.46557617188
"H16703-04-01","P16703-004",3,,,3,,,,1467.73278808594
"H16703-04-02","P16703-010",1,"P16703-003",1,,,19,20,1467.73278808594
"H16704-04-01","P16704-008",3,,,3,,,,1467.73278808594
"H16704-04-02","P16704-011",1,"P16704-003",1,,,17,21,1467.73278808594
"H16705-04-01","P16705-002",1,"P16705-001",1,,,17,51,2935.46557617188
"H16708-04-01","P16708-002",1,"P16708-001",1,,,16,20,2935.46557617188
"H16710-04-01","P16710-012",1,"P16710-003",1,,,21,21,2935.46557617188
"H16710-04-01","P16710-002",1,"P16710-001",1,,,18,27,2935.46557617188
"H16802-04-01","P16802-002",1,"P16802-001",2,,,21,18,2935.46606445313
"H16803-04-01","P16803-003",3,,,3,,,,2935.46606445313
"H16803-04-01","P16803-002",1,"P16803-001",1,,,15,20,2935.46606445313
"H16804-04-01","P16804-001",2,,1,,,15,19,1467.73303222656
"H16804-04-03","P16804-002",2,"P16804-007",1,,,17,18,1467.73303222656
"H16806-04-01","P16806-001",3,,,1,3,16,16,1467.73303222656
"H16806-04-02","P16806-011",2,"P16806-003",1,,,18,22,1467.73303222656
"H16807-04-01","P16807-002",1,"P16807-001",1,,,18,24,2935.46606445313
"H16808-04-01","P16808-001",1,,1,,,15,20,2935.46606445313
"H16809-04-02","P16809-009",1,"P16809-008",1,,,16,36,978.488708496094
"H16809-04-03","P16809-002",1,"P16809-001",1,,,20,24,978.488708496094
"H16810-04-01","P16810-003",1,,1,,,18,22,2935.46606445313
"H17002-04-01","P17002-005",3,,,3,,,,2935.46557617188
"H17002-04-01","P17002-002",1,"P17002-001",1,,,16,21,2935.46557617188
"H17003-04-01","P17003-002",1,"P17003-001",1,,,15,16,2935.46557617188
"H17003-04-01","P17003-005",3,,,3,,,,2935.46557617188
"H17005-04-01","P17005-001",1,,2,,,16,30,2935.46557617188
"H17006-04-01","P17006-001",1,,1,,,15,20,2935.46557617188
"H17006-04-01","P17006-002",3,,,3,,,,2935.46557617188
"H17009-04-01","P17009-002",2,"P17009-001",1,,,20,30,1467.73278808594
"H17009-04-02","P17009-009",2,"P17009-003",1,,,17,24,1467.73278808594
"H17010-04-02","P17010-003",3,,,3,,,,1467.73278808594
"H17102-04-01","P17102-002",1,"P17102-001",2,,,17,20,2935.46557617188
"H17103-04-01","P17103-005",3,,,3,,,,2935.46557617188
"H17103-04-01","P17103-001",1,"P17103-010",1,,,22,27,2935.46557617188
"H17109-04-01","P17109-002",1,"P17109-001",1,,,16,21,2935.46557617188
"H17109-04-01","P17109-005",3,,,3,,,,2935.46557617188
"H17201-04-01","P17201-001",3,,,2,2,20,27,757.547973632813
"H17201-04-02","P17201-004",1,"P17201-009",2,,,14,21,757.547973632813
"H17201-04-03","P17201-011",1,"P17201-003",2,,,14,19,757.547973632813
"H17202-04-01","P17202-002",1,"P17202-001",1,,,16,25,2272.64404296875
"H17202-04-01","P17202-003",3,,,3,,,,2272.64404296875
"H17203-04-01","P17203-002",1,"P17203-001",2,,,15,20,2272.64404296875
"H17204-04-01","P17204-002",1,"P17204-001",1,,,25,39,2272.64404296875
"H17205-04-01","P17205-008",1,"P17205-001",2,,,14,22,2272.64404296875
"H17206-04-01","P17206-002",2,"P17206-001",1,,,19,27,2272.64404296875
"H17207-04-01","P17207-005",3,,,3,,,,1136.32202148438
"H17207-04-01","P17207-002",2,"P17207-001",1,,,20,25,1136.32202148438
"H17207-04-02","P17207-016",1,"P17207-003",1,,,17,22,1136.32202148438
"H17210-04-01","P17210-004",3,,,3,,,,2272.64404296875
"H17308-04-01","P17308-002",2,"P17308-001",1,,,15,24,2272.64404296875
"H17308-04-01","P17308-005",3,,,3,,,,2272.64404296875
"H17309-04-01","P17309-002",2,"P17309-001",2,,,15,16,2272.64404296875
"H17310-04-01","P17310-006",3,,,3,,,,2272.64404296875
"H17310-04-01","P17310-005",3,,,3,,,,2272.64404296875
"H17310-04-01","P17310-002",1,"P17310-001",1,,,15,19,2272.64404296875
"H17401-04-01","P17401-002",1,"P17401-001",1,,,18,26,1467.73278808594
"H17401-04-02","P17401-003",2,,1,,,19,25,1467.73278808594
"H17404-04-01","P17404-002",1,"P17404-001",1,,,18,24,2935.46557617188
"H17406-04-01","P17406-011",3,,,3,,,,1467.73278808594
"H17408-04-01","P17408-001",1,"P17408-004",1,,,31,33,2935.46557617188
"H17409-04-01","P17409-004",3,,,3,,,,2935.46557617188
"H17409-04-01","P17409-002",1,"P17409-001",1,,,18,22,2935.46557617188
"H17410-04-01","P17410-005",3,,,1,3,14,21,2935.46557617188
"H17410-04-01","P17410-010",2,"P17410-002",1,,,18,23,2935.46557617188
"H17502-04-01","P17502-001",1,,1,,,19,29,2935.46557617188
"H17503-04-01","P17503-010",3,,,3,,,,2935.46557617188
"H17503-04-01","P17503-004",3,,,3,,,,2935.46557617188
"H17503-04-01","P17503-002",1,"P17503-001",1,,,14,27,2935.46557617188
"H17504-04-02","P17504-009",3,,,3,,,,2935.46557617188
"H17506-04-01","P17506-010",3,,,3,,,,2935.46557617188
"H17506-04-01","P17506-009",1,"P17506-001",1,,,25,33,2935.46557617188
"H17509-04-01","P17509-005",3,,,3,,,,2935.46557617188
"H17511-04-02","P17511-015",2,"P17511-003",1,,,19,28,978.488586425781
"H17511-04-03","P17511-017",2,"P17511-004",2,,,17,22,978.488586425781
"H17601-04-01","P17601-003",3,,,2,3,19,24,2935.46557617188
"H17604-04-01","P17604-002",3,,,3,,,,2935.46557617188
"H17604-04-01","P17604-001",3,,,2,1,19,30,2935.46557617188
"H17606-04-01","P17606-002",2,"P17606-001",1,,,20,20,2935.46557617188
"H17606-04-01","P17606-005",3,,,3,,,,2935.46557617188
"H17608-04-02","P17608-003",2,"P17608-006",1,,,20,24,1467.73278808594
"H17609-04-01","P17609-002",2,"P17609-001",1,,,17,25,2935.46557617188
"H17703-04-01","P17703-002",1,"P17703-001",2,,,14,22,2935.46557617188
"H17705-04-02","P17705-002",2,"P17705-001",1,,,18,24,2935.46557617188
"H17707-04-03","P17707-007",2,"P17707-006",1,,,23,29,978.488586425781
"H17707-04-04","P17707-017",1,"P17707-005",1,,,17,20,978.488586425781
"H17708-04-02","P17708-016",1,"P17708-005",1,,,16,20,1467.73278808594
"H17709-04-01","P17709-002",2,"P17709-001",1,,,0,0,2935.46557617188
"H18001-04-02","P18001-006",1,"P18001-009",2,,,16,20,1102.41516113281
"H18007-04-01","P18007-002",1,"P18007-001",1,,,20,23,2204.83032226563
"H18012-04-01","P18012-004",3,,,3,,,,2204.83032226563
"H18012-04-01","P18012-002",1,"P18012-001",1,,,15,20,2204.83032226563
"H18013-04-01","P18013-002",1,"P18013-001",1,,,21,27,2204.83032226563
"H18102-04-01","P18102-003",3,,,3,,,,2204.83032226563
"H18103-04-01","P18103-003",3,,,3,,,,734.943481445313
"H18103-04-03","P18103-011",1,"P18103-010",1,,,18,20,734.943481445313
"H18104-04-02","P18104-008",1,"P18104-007",1,,,15,19,551.207580566406
"H18104-04-03","P18104-016",1,"P18104-010",1,,,2012,23,551.207580566406
"H18105-04-01","P18105-002",1,"P18105-001",1,,,17,23,2204.83032226563
"H18105-04-01","P18105-003",3,,,3,,,,2204.83032226563
"H18106-04-01","P18106-005",1,"P18106-001",1,,,16,18,2204.83032226563
"H18108-04-01","P18108-001",2,"P18108-009",2,,,16,21,2204.83032226563
"H18109-04-01","P18109-002",1,"P18109-001",1,,,15,26,2204.83032226563
"H18110-04-01","P18110-002",1,"P18110-001",1,,,18,22,2204.83032226563
"H18201-04-01","P18201-002",1,"P18201-001",1,,,16,20,2204.83032226563
"H18202-04-02","P18202-016",2,"P18202-015",1,,,16,19,367.4716796875
"H18202-04-03","P18202-019",1,"P18202-018",1,,,17,21,367.4716796875
"H18202-04-04","P18202-002",1,"P18202-001",1,,,15,23,367.4716796875
"H18203-04-01","P18203-004",3,,,3,,,,2204.83032226563
"H18203-04-01","P18203-003",3,,,3,,,,2204.83032226563
"H18203-04-01","P18203-002",1,"P18203-001",1,,,15,22,2204.83032226563
"H18204-04-02","P18204-003",1,"P18204-009",1,,,15,17,1102.41516113281
"H18205-04-01","P18205-002",1,"P18205-001",2,,,18,23,1102.41516113281
"H18205-04-02","P18205-003",1,"P18205-009",1,,,16,18,1102.41516113281
"H18206-04-01","P18206-007",3,,,3,,,,1102.41516113281
"H18206-04-02","P18206-006",1,"P18206-015",2,,,17,20,1102.41516113281
"H18207-04-01","P18207-007",1,"P18207-002",2,,,17,28,1102.41516113281
"H18208-04-01","P18208-002",1,"P18208-001",1,,,20,21,2204.83032226563
"H18209-04-01","P18209-002",3,,,1,1,17,22,1102.41516113281
"H18209-04-02","P18209-008",1,"P18209-004",1,,,16,18,1102.41516113281
"H18210-04-01","P18210-002",1,"P18210-001",1,,,18,21,440.966064453125
"H18210-04-02","P18210-010",3,,,1,1,16,24,440.966064453125
"H18210-04-03","P18210-030",2,,1,,,18,25,440.966064453125
"H18210-04-04","P18210-004",3,,,3,,,,440.966064453125
"H18210-04-04","P18210-004",3,,,3,,,,440.966064453125
"H18210-04-04","P18210-024",1,"P18210-023",1,,,24,29,440.966064453125
"H18210-04-05","P18210-019",1,"P18210-018",1,,,25,28,440.966064453125
"H18210-04-05","P18210-045",3,,,3,,,,440.966064453125
"H18301-04-01","P18301-020",3,,,3,,,,314.975738525391
"H18301-04-01","P18301-019",3,,,3,,,,314.975738525391
"H18301-04-01","P18301-005",3,,,2,2,17,22,314.975738525391
"H18301-04-01","P18301-016",1,,1,,,18,30,314.975738525391
"H18301-04-02","P18301-001",1,"P18301-017",1,,,17,18,314.975738525391
"H18301-04-03","P18301-026",1,"P18301-025",1,,,16,20,314.975738525391
"H18301-04-05","P18301-043",3,,,3,,,,314.975738525391
"H18301-04-05","P18301-040",2,"P18301-023",2,,,16,32,314.975738525391
"H18301-04-05","P18301-041",3,,,2,3,18,18,314.975738525391
"H18301-04-06","P18301-012",1,"P18301-024",1,,,16,19,314.975738525391
"H18301-04-07","P18301-050",1,"P18301-011",1,,,15,18,314.975738525391
"H18305-04-01","P18305-004",2,,1,,,15,22,2204.83032226563
"H18306-04-01","P18306-001",3,,,1,1,18,20,2204.83032226563
"H18307-04-01","P18307-001",3,,,1,1,15,28,2204.83032226563
"H18307-04-01","P18307-006",3,,,3,,,,2204.83032226563
"H18308-04-01","P18308-002",1,"P18308-001",2,,,14,20,2204.83032226563
"H18309-04-01","P18309-010",3,,,2,3,17,20,2204.83032226563
"H18309-04-01","P18309-003",3,,,2,3,17,19,2204.83032226563
"H18309-04-01","P18309-002",1,"P18309-001",1,,,16,20,2204.83032226563
"H18311-04-01","P18311-004",3,,,3,,,,1102.41516113281
"H18311-04-01","P18311-002",1,"P18311-001",1,,,16,18,1102.41516113281
"H18601-04-03","P18601-035",3,,,2,3,16,18,551.207580566406
"H18602-04-01","P18602-002",1,"P18602-001",1,,,18,23,2204.83032226563
"H18604-04-01","P18604-002",1,"P18604-001",1,,,17,25,2204.83032226563
"H18605-04-01","P18605-002",1,"P18605-001",2,,,18,20,2204.83032226563
"H18605-04-01","P18605-006",3,,,3,,,,2204.83032226563
"H18606-04-01","P18606-003",3,,,2,3,15,22,2204.83032226563
"H18607-04-01","P18607-002",1,"P18607-001",1,,,15,22,2204.83032226563
"H18608-04-01","P18608-002",1,"P18608-001",2,,,15,23,2204.83032226563
"H18610-04-01","P18610-016",3,,,3,,,,2204.83032226563
"H18708-04-01","P18708-006",1,"P18708-001",2,,,18,20,2204.83032226563
"H18712-04-01","P18712-003",3,,,3,,,,2204.83032226563
"H18712-04-01","P18712-002",1,"P18712-001",1,,,19,21,2204.83032226563
"H18801-04-01","P18801-002",1,"P18801-001",1,,,18,20,1102.41516113281
"H18801-04-02","P18801-003",1,"P18801-009",2,,,17,24,1102.41516113281
"H18802-04-01","P18802-005",3,,,3,,,,2204.83032226563
"H18803-04-01","P18803-002",3,,,3,,,,2204.83032226563
"H18803-04-01","P18803-001",3,,,2,1,16,23,2204.83032226563
"H18804-04-01","P18804-001",1,"P18804-008",1,,,14,21,2204.83032226563
"H18805-04-01","P18805-008",3,,,3,,,,2204.83032226563
"H18805-04-01","P18805-001",1,"P18805-002",1,,,18,26,2204.83032226563
"H18806-04-01","P18806-012",3,,,3,,,,734.943481445313
"H18806-04-01","P18806-009",1,"P18806-008",1,,,15,19,734.943481445313
"H18806-04-02","P18806-017",2,"P18806-024",2,,,18,20,734.943481445313
"H18806-04-03","P18806-003",3,,,2,3,23,27,734.943481445313
"H18806-04-03","P18806-004",3,,,3,,,,734.943481445313
"H18807-04-01","P18807-002",3,,,1,3,18,25,1102.41516113281
"H18807-04-02","P18807-004",1,"P18807-011",1,,,18,22,1102.41516113281
"H18808-04-03","P18808-004",2,"P18808-017",1,,,18,20,734.943481445313
"H18809-04-01","P18809-002",1,"P18809-001",1,,,20,28,2204.83032226563
"H18810-04-01","P18810-002",1,"P18810-001",2,,,20,44,2204.83032226563
"H18902-04-01","P18902-003",3,,,2,3,18,23,2204.83032226563
"H18904-04-01","P18904-002",1,"P18904-001",1,,,18,20,2204.83032226563
"H18904-04-01","P18904-003",3,,,3,,,,2204.83032226563
"H18905-04-01","P18905-001",3,,,1,1,16,21,2204.83032226563
"H18908-04-01","P18908-002",1,"P18908-001",1,,,20,18,2204.83032226563
"H18910-04-01","P18910-002",1,"P18910-001",2,,,16,18,2204.83032226563
"H19001-04-01","P19001-002",1,"P19001-001",1,,,16,24,1102.41516113281
"H19001-04-02","P19001-008",1,"P19001-011",1,,,17,24,1102.41516113281
"H19002-04-01","P19002-002",1,"P19002-001",2,,,19,25,2204.83032226563
"H19002-04-01","P19002-006",3,,,3,,,,2204.83032226563
"H19004-04-01","P19004-003",3,,,3,,,,2204.83032226563
"H19004-04-01","P19004-002",1,"P19004-001",1,,,18,23,2204.83032226563
"H19005-04-01","P19005-002",1,"P19005-001",1,,,16,19,2204.83032226563
"H19006-04-01","P19006-004",1,"P19006-003",1,,,15,21,2204.83032226563
"H19007-04-01","P19007-001",2,"P19007-003",1,,,17,20,2204.83032226563
"H19008-04-01","P19008-003",2,"P19008-008",1,,,22,18,551.207580566406
"H19008-04-02","P19008-015",1,"P19008-014",1,,,21,14,551.207580566406
"H19008-04-04","P19008-011",1,"P19008-009",1,,,20,16,551.207580566406
"H19009-04-01","P19009-002",1,"P19009-001",1,,,17,20,2204.83032226563
"H19010-04-01","P19010-008",2,"P19010-002",1,,,17,19,2204.83032226563
"H19010-04-01","P19010-001",3,,,1,3,17,31,2204.83032226563
"H19102-04-01","P19102-001",3,,,3,,,,2204.83032226563
"H19102-04-01","P19102-003",3,,,3,,,,2204.83032226563
"H19103-04-01","P19103-002",1,"P19103-001",1,,,18,27,2204.83032226563
"H19105-04-01","P19105-003",3,,,3,,,,2204.83032226563
"H19106-04-01","P19106-005",3,,,3,,,,2204.83032226563
"H19107-04-01","P19107-008",1,"P19107-007",1,,,14,19,734.943359375
"H19107-04-02","P19107-001",1,"P19107-002",1,,,16,25,734.943359375
"H19107-04-03","P19107-004",1,"P19107-005",1,,,19,24,734.943359375
"H19108-04-02","P19108-007",1,"P19108-006",1,,,18,20,734.943359375
"H19108-04-03","P19108-003",2,"P19108-010",2,,,17,18,734.943359375
"H19109-04-01","P19109-001",3,,,1,1,20,25,2204.83032226563
"H19110-04-01","P19110-009",3,,,1,2,16,20,2204.83032226563
"H19201-04-01","P19201-003",1,"P19201-002",1,,,21,35,2204.83032226563
"H19203-04-01","P19203-011",3,,,3,,,,2204.83032226563
"H19203-04-01","P19203-013",1,"P19203-012",2,,,16,20,2204.83032226563
"H19203-04-01","P19203-002",2,"P19203-001",1,,,16,30,2204.83032226563
"H19205-04-03","P19205-005",2,"P19205-020",2,,,19,20,1102.41516113281
"H19210-04-01","P19210-002",1,"P19210-001",1,,,20,23,2204.83032226563
"H19212-04-02","P19212-013",1,"P19212-012",1,,,15,23,734.943359375
"H19212-04-03","P19212-002",2,"P19212-001",2,,,16,19,734.943359375
"H19401-04-01","P19401-002",1,"P19401-001",1,,,19,25,2464.5224609375
"H19402-04-01","P19402-009",3,,,3,,,,2464.5224609375
"H19402-04-01","P19402-012",3,,,2,3,17,21,2464.5224609375
"H19402-04-01","P19402-008",3,,,3,,,,2464.5224609375
"H19404-04-01","P19404-001",3,,,2,3,15,21,2464.5224609375
"H19406-04-01","P19406-003",3,,,3,,,,2464.5224609375
"H19407-04-01","P19407-002",1,"P19407-001",1,,,22,32,2464.5224609375
"H19409-04-01","P19409-002",1,"P19409-001",1,,,18,23,2464.5224609375
"H19409-04-01","P19409-004",3,,,3,,,,2464.5224609375
"H19502-04-01","P19502-003",3,,,1,2,17,30,2464.5224609375
"H19504-04-01","P19504-006",3,,,3,,,,1232.26123046875
"H19504-04-01","P19504-004",3,,,3,,,,1232.26123046875
"H19504-04-01","P19504-005",3,,,3,,,,1232.26123046875
"H19506-04-01","P19506-004",3,,,2,3,16,19,2464.5224609375
"H19507-04-01","P19507-002",1,"P19507-001",1,,,25,26,2464.5224609375
"H19508-04-01","P19508-003",3,,,3,,,,2464.5224609375
"H19509-04-01","P19509-002",1,"P19509-001",1,,,14,17,2464.5224609375
"H19510-04-01","P19510-002",1,"P19510-001",2,,,17,23,2464.5224609375
"H19510-04-01","P19510-006",3,,,3,,,,2464.5224609375
"H19510-04-01","P19510-005",3,,,3,,,,2464.5224609375
"H19602-04-01","P19602-011",3,,,1,3,18,20,1232.26123046875
"H19602-04-02","P19602-002",1,,1,,,24,32,1232.26123046875
"H19604-04-01","P19604-002",1,"P19604-001",1,,,23,24,2464.5224609375
"H19607-04-03","P19607-003",2,"P19607-011",2,,,19,27,821.507507324219
"H19608-04-01","P19608-001",1,,1,,,20,22,2464.5224609375
"H19609-04-01","P19609-002",3,,,1,3,19,25,2464.5224609375
"H19610-04-01","P19610-009",3,,,1,3,19,21,2464.5224609375
"H19610-04-01","P19610-002",1,"P19610-001",1,,,19,24,2464.5224609375
"H19702-04-02","P19702-013",3,,,3,,,,616.130615234375
"H19702-04-02","P19702-018",3,,,3,,,,616.130615234375
"H19702-04-02","P19702-033",3,,,3,,,,616.130615234375
"H19702-04-02","P19702-010",3,,,1,2,16,20,616.130615234375
"H19702-04-03","P19702-022",1,"P19702-021",1,,,20,25,616.130615234375
"H19702-04-04","P19702-003",3,,,3,,,,616.130615234375
"H19702-04-04","P19702-009",1,"P19702-004",1,,,15,23,616.130615234375
"H19703-04-02","P19703-004",1,"P19703-008",1,,,17,25,1232.26123046875
"H19705-04-01","P19705-002",1,"P19705-001",1,,,19,24,2464.5224609375
"H19707-04-01","P19707-002",1,"P19707-001",1,,,18,24,2464.5224609375
"H19708-04-01","P19708-005",3,,,3,,,,2464.5224609375
"H19710-04-01","P19710-014",1,"P19710-006",2,,,19,23,2464.5224609375
"H19710-04-01","P19710-016",1,"P19710-004",1,,,17,19,2464.5224609375
"H19711-04-01","P19711-009",2,"P19711-001",2,,,17,21,2464.5224609375
"H20002-04-01","P20002-001",1,,1,,,15,25,2464.5224609375
"H20002-04-01","P20002-002",3,,,3,,,,2464.5224609375
"H20004-04-01","P20004-011",1,"P20004-004",1,,,20,22,2464.5224609375
"H20005-04-02","P20005-005",1,"P20005-010",1,,,25,39,1232.26123046875
"H20006-04-01","P20006-001",1,,1,,,19,22,2464.5224609375
"H20007-04-01","P20007-001",2,,2,,,15,22,2464.5224609375
"H20009-04-01","P20009-006",3,,,3,,,,2464.5224609375
"H20009-04-01","P20009-002",1,"P20009-001",2,,,15,23,2464.5224609375
"H20011-04-01","P20011-002",1,"P20011-001",1,,,20,33,2464.5224609375
"H20201-04-01","P20201-002",1,"P20201-001",1,,,19,23,2464.5224609375
"H20203-04-02","P20203-003",1,"P20203-011",1,,,19,20,1232.26123046875
"H20205-04-01","P20205-002",1,"P20205-001",2,,,20,27,2464.5224609375
"H20206-04-01","P20206-003",3,,,3,,,,2464.5224609375
"H20206-04-01","P20206-005",3,,,3,,,,2464.5224609375
"H20207-04-01","P20207-002",1,"P20207-001",1,,,14,19,1232.26123046875
"H20209-04-01","P20209-002",1,"P20209-001",2,,,17,28,2464.5224609375
"H20210-04-01","P20210-001",1,"P20210-009",1,,,16,18,821.507507324219
"H20210-04-02","P20210-003",1,"P20210-011",1,,,18,22,821.507507324219
"H20210-04-03","P20210-008",1,"P20210-012",1,,,16,18,821.507507324219
"H20301-04-01","P20301-001",2,,2,,,20,25,2464.5224609375
"H20303-04-01","P20303-002",1,"P20303-001",1,,,18,24,2464.5224609375
"H20304-04-01","P20304-001",1,,1,,,17,23,2464.5224609375
"H20305-04-01","P20305-003",3,,,1,3,17,19,2464.5224609375
"H20305-04-01","P20305-005",3,,,3,,,,2464.5224609375
"H20305-04-01","P20305-002",1,"P20305-001",2,,,18,23,2464.5224609375
"H20306-04-01","P20306-002",1,"P20306-001",1,,,17,22,2464.5224609375
"H20306-04-01","P20306-003",3,,,3,,,,2464.5224609375
"H20307-04-01","P20307-003",3,,,3,,,,2464.5224609375
"H20307-04-01","P20307-002",1,"P20307-001",1,,,19,20,2464.5224609375
"H20310-04-01","P20310-011",2,"P20310-019",2,,,18,24,1232.26123046875
"H20310-04-02","P20310-002",1,"P20310-001",1,,,18,24,1232.26123046875
"H20401-04-01","P20401-002",1,"P20401-001",1,,,14,20,2464.5224609375
"H20402-04-01","P20402-002",1,"P20402-001",1,,,15,17,2464.5224609375
"H20403-04-01","P20403-002",1,"P20403-001",1,,,16,19,2464.5224609375
"H20406-04-01","P20406-002",1,"P20406-001",1,,,17,19,2464.5224609375
"H20407-04-01","P20407-010",1,"P20407-003",1,,,16,21,2464.5224609375
"H20407-04-01","P20407-002",1,"P20407-001",1,,,17,21,2464.5224609375
"H20408-04-01","P20408-002",1,,2,,,15,18,2464.5224609375
"H20411-04-01","P20411-002",1,"P20411-001",1,,,15,17,2464.5224609375
"H20411-04-01","P20411-005",3,,,3,,,,2464.5224609375
"H20503-04-01","P20503-002",1,"P20503-001",1,,,19,23,2204.83032226563
"H20504-04-01","P20504-011",3,,,1,1,15,18,2204.83032226563
"H20507-04-01","P20507-029",2,"P20507-001",2,,,15,20,1102.41516113281
"H20508-04-01","P20508-010",2,"P20508-002",2,,,16,25,2204.83032226563
"H20601-04-01","P20601-008",1,"P20601-003",1,,,17,18,1102.41516113281
"H20601-04-02","P20601-011",2,"P20601-001",2,,,15,18,1102.41516113281
"H20603-04-01","P20603-022",1,"P20603-015",2,,,16,30,734.943359375
"H20603-04-03","P20603-001",2,"P20603-033",2,,,14,16,734.943359375
"H20606-04-02","P20606-010",3,,,1,3,16,18,1102.41516113281
"H20607-04-01","P20607-001",3,,,1,1,28,30,2204.83032226563
"H20609-04-02","P20609-001",1,"P20609-007",2,,,25,35,2204.83032226563
"H20610-04-04","P20610-034",1,"P20610-033",1,,,16,24,734.943359375
